	Class	Compound	M8: GMM+LAB plus Mucin	M2: LAB	M3: GMM+LAB	price	volume/mass (ml/g)	price per unit	Catalog ID	link	Notes
76	Vitamins & Antioxidants	Pyridoxine HCl	4.8 mg	4.8 mg	4.8 mg	$42.00 	25	$1.68 	P9755-25G	https://www.sigmaaldrich.com/catalog/product/sial/p9755?lang=en&region=US	
77	Vitamins & Antioxidants	Calcium Pantothenate	1.2 mg	1.2 mg	1.2 mg	$67.10 	100	$0.67 	P5155-100G	https://www.sigmaaldrich.com/catalog/product/sigma/p5155?lang=en&region=US	
78	Vitamins & Antioxidants	Folic acid	0.56 mg	0.56 mg	0.56 mg	$32.60 	5	$6.52 	F8758-5G	https://www.sigmaaldrich.com/catalog/product/sigma/f8758?lang=en&region=US	
79	Vitamins & Antioxidants	p-Aminobenzoic acid	50 µg	56 µg	50 µg	$25.10 	50	$0.50 	100536-50G	https://www.sigmaaldrich.com/catalog/product/aldrich/100536?lang=en&region=US	
80	Vitamins & Antioxidants	Lipoic acid	1.05 mg	1 mg	1.05 mg	$81.70 	5	$16.34 	T1395-5G	https://www.sigmaaldrich.com/catalog/product/sigma/t1395?lang=en&region=US	
82	Vitamins & Antioxidants	Vitamin B12	1 µg	0	1 µg	$116 	1	$116.00 	V2876-1G	https://www.sigmaaldrich.com/catalog/product/sigma/v2876?lang=en&region=US	
83	Vitamins & Antioxidants	Vitamin K (menadione)	1 mg	0	1 mg	$50.80 	25	$2.03 	M5625-25G	https://www.sigmaaldrich.com/catalog/product/sigma/m5625?lang=en&region=US	
84	SCFA	Acetic acid	1.7 mL	0	1.7 mL	$62.60 	1000	$0.06 	A6283-1L	https://www.sigmaaldrich.com/catalog/product/sigald/a6283?lang=en&region=US	
85	SCFA	Isovaleric acid	0.1 mL	0	0.1 mL	$23.90 	100	$0.24 	129542-100ML	https://www.sigmaaldrich.com/catalog/product/aldrich/129542?lang=en&region=US	
86	SCFA	Propionic acid	2 mL	0	2 mL	$36.00 	1000	$0.04 	P5561-1L	https://www.sigmaaldrich.com/catalog/product/sigma/p5561?lang=en&region=US	
87	SCFA	Butyric acid	2 mL	0	2 mL	$31.30 	500	$0.06 	B103500-500ML	https://www.sigmaaldrich.com/catalog/product/aldrich/b103500?lang=en&region=US	
88	Buffer compounds	KH2PO4	13.609 g	3.1 g	13.609 g	$126.00 	1000	$0.13 	P5655-1KG	https://www.sigmaaldrich.com/catalog/product/sigma/p5655?lang=en&region=US	
89	Buffer compounds	K2HPO4	6.48 g	6.48 g	6.48 g	$107.00 	500	$0.21 	P8281-500G	https://www.sigmaaldrich.com/catalog/product/sial/p8281?lang=en&region=US	
90	Buffer compounds	Tricine	1.5 g	1.5 g	1.5 g	$150 	250	$0.60 	T0377-250G	https://www.sigmaaldrich.com/catalog/product/sigma/t0377?lang=en&region=US	
91	Buffer compounds	EDTA	12.34 mg	7.34 mg	12.34 mg	$68.80 	500	$0.14 	798681-500G	https://www.sigmaaldrich.com/catalog/product/aldrich/798681?lang=en&region=US	
92	Buffer compounds	Nitrilotriacetic acid	7.34 mg	7.34 mg	7.34 mg	$39.30 	100	$0.39 	N9877-100G	https://www.sigmaaldrich.com/catalog/product/sial/n9877?lang=en&region=US	
											
											
					Total:	"$5,404.93 "					
